Var Name;Type;Length;Label;Comment;Table
DOMAIN;CHAR;2;Domain (table) Name Abbreviation;;CoreTable
STUDYID;CHAR;8;Study Identifier;Value: EFC6546, CELGENE, ASCENT2, AZ;CoreTable
RPT;CHAR;18;Patient ID (or dummy id);;CoreTable
LKADT_P;NUM;8;Last Known Alive Dt Period in days;Q1 dependent variable ;CoreTable
DEATH;CHAR;3;Patient Died Flag;Q1 dependent variable;CoreTable
DISCONT;CHAR;1;Discontinue Flag;Q2 dependent variable;CoreTable
ENDTRS_C;CHAR;30;Discontinue Trt Reason (category);dep. var. reference variables, details see “Creation of dependent variable for Q2.docx” in the Challenge Data folder;CoreTable
ENTRT_PC;NUM;8;Discontinue Trt Date Period in days;Q2 dependent variable ;CoreTable
PER_REF;CHAR;30;Reference Day used for ENTRT_PC;dep. var. reference variables;CoreTable
LKADT_REF;CHAR;30;Reference Day used for LKADT_P;dep. var. reference variables;CoreTable
LKADT_PER;CHAR;10;Period unit for period values, LKADT_P;dep. var. reference variables;CoreTable
GLEAS_DX;NUM;8;Gleason Score at Initial diagnosis, see detail definition in wiki data description;covariates only available in ASCENT2;CoreTable
TSTAG_DX;CHAR;5;Primary Tumor-stage Score at Initial diagnosis, see detail definition in wiki data description;covariates only available in ASCENT2;CoreTable
AGEGRP;CHAR;15;Age Group;AZ have 3 groups, while other trials have actual age up to 85.;CoreTable
AGEGRP2;CHAR;15;Age Group (3 category);3 category: 18-64, 65-74, 75+;CoreTable
RACE_C;CHAR;50;Race; ;CoreTable
BMI;NUM;8;Baseline Body Mass Index (kg/m2);;CoreTable
HEIGHTBL;NUM;8;Baseline Height in cm;;CoreTable
HGTBLCAT;CHAR;20;Baseline Height in cm category;;CoreTable
WEIGHTBL;NUM;8;Baseline Weight in kg;;CoreTable
WGTBLCAT;CHAR;20;Baseline Weight in kg category;;CoreTable
REGION_C;CHAR;30;Region of the World;;CoreTable
SMOKE;CHAR;5;Ever Smoked;covariates only available in ASCENT2;CoreTable
